Section,Methodology Note,Status
v0.2 Formula,"draw_prob formula: MAX(0.18, MIN(0.35, 0.30 - ABS(elo_diff) * 0.003)). Base 30%, reduced by 0.3pp per Opta gap, floored at 18%, capped at 35%.",Official
v0.2 Formula,home_win_prob = (1 - draw_prob) * home_strength.,Official
v0.2 Formula,away_win_prob = (1 - draw_prob) * (1 - home_strength).,Official
v0.2 Formula,home_win_prob + draw_prob + away_win_prob should always sum to 100%.,Official
Draw Model,A systematic issue was identified where the model over-flagged draws as STRONG PLAYs in heavy-favorite matches.,Risk Control
Draw Model,This occurred because the draw probability floor was too high relative to market prices in severe mismatch games.,Risk Control
Draw Model,"Examples of suspicious draw edges include heavy favorites such as Germany, Spain, Brazil, France, or Portugal where market draw probability is extremely low.",Risk Control
Draw Model,"A draw can still be legitimate value in balanced matchups, but heavy-favorite draws require additional review before action.",Official
Draw Model,"draw_play_filter flags suspicious draw value when best_value = Draw, market_draw is very low, and raw_score indicates a large mismatch.",Official
Draw Model,"Current draw block logic: BLOCK DRAW when best_value = Draw, market_draw < 15%, and ABS(raw_score) > 1.5.",Official
Draw Model,Blocked draw rows are converted to REVIEW instead of STRONG PLAY / PLAY.,Official
Draw Model,The draw_play_filter does not change probabilities. It only changes signal classification to prevent blindly acting on likely model artifacts.,Official
Draw Model,The draw engine is a known candidate for future calibration using historical match data and/or Poisson scoreline probabilities.,Follow-up
Data Sources,Opta Power Ratings is used as the primary team-strength measure (stored in team_stats column labeled 'elo' for historical reasons).,Official
Data Sources,"xG inputs are compiled from regional qualifier and tournament data (UEFA, CONMEBOL, CAF, AFC, CONCACAF, Gold Cup).",Official
Data Sources,Goal differential and form are based on recent competitive results (Kaggle martj42 international results 1872-present).,Official
Data Sources,Friendlies are excluded from core competitive form calculations where possible.,Official
Data Sources,"Some pre-WC friendly-style competitions (FIFA Series, Kirin Cup, King's Cup) occasionally bypass the friendly filter.",Limitation
Data Sources,"Some regional xG datasets are less complete than others, creating a known comparability limitation (partially mitigated by conf_scalar in O/U).",Limitation
Data Sources,New Zealand has no available xG source and uses a goals-based fallback.,Limitation
Team Stats,team_stats is the master team-level database.,Official
Team Stats,model_inputs_v02 pulls team-level statistics from team_stats and converts them into matchup-level difference features.,Official
Team Stats,ou_model pulls team-level statistics from team_stats with conf_scalar adjustment applied at the input level.,Official
Team Stats,Historical teams not participating in the 2026 World Cup are not forced into team_stats.,Official
Team Stats,Raw historical competition tabs are kept separate from the current 2026 prediction dataset.,Official
Team Stats,"Team naming is standardized across tabs to avoid lookup errors. Examples: USA, IR Iran, Czechia, Cabo Verde, Côte d'Ivoire, DR Congo, Turkey.",Official
Market Odds,Kalshi is used as the primary market benchmark; Polymarket is a secondary reference.,Official
Market Odds,Raw Kalshi home/draw/away prices are normalized so the three-outcome market sums to 100%.,Official
Market Odds,market_home = kalshi_home_raw / (kalshi_home_raw + kalshi_draw_raw + kalshi_away_raw).,Official
Market Odds,The same normalization logic is applied to market_draw and market_away.,Official
Market Odds,The same proportional devig is applied separately to O/U contracts (over_raw and under_raw).,Official
Market Odds,Market probabilities should be updated close to kickoff because prices can move materially before the match.,Official
Edge Calculation,edge_home = model_home_prob - market_home.,Official
Edge Calculation,edge_draw = model_draw_prob - market_draw.,Official
Edge Calculation,edge_away = model_away_prob - market_away.,Official
Edge Calculation,"best_edge is the largest edge among home, draw, and away.",Official
Edge Calculation,best_value is the outcome with the highest model-versus-market edge.,Official
Edge Calculation,best_value can differ from model_pick because the most likely outcome is not always the best-priced outcome.,Official
Edge Calculation,A positive edge means the model prices the outcome higher than the market. A negative edge means the model prices it lower than the market.,Official
Edge Calculation,Same logic applies to O/U: ou_best_value is over or under whichever has the larger devigged edge; ou_best_edge tracks magnitude.,Official
Signal Rules,"STRONG PLAY: best_edge >= 10%, unless blocked by review logic.",Official
Signal Rules,"PLAY: best_edge >= 6%, unless blocked by review logic.",Official
Signal Rules,WATCH: best_edge >= 3%.,Official
Signal Rules,PASS: best_edge < 3%.,Official
Signal Rules,Any best_edge >= 15% is flagged CHECK INPUTS for manual review.,Official
Signal Rules,"CHECK INPUTS does not automatically mean the play is invalid; it means the odds and team inputs should be verified before action.",Official
Signal Rules,REVIEW is used when a row is either CHECK INPUTS or BLOCK DRAW.,Official
Signal Rules,REVIEW rows should not be treated as automatic plays. They require manual verification before being considered actionable.,Official
Signal Rules,"Signal hierarchy: REVIEW override fires first, then STRONG PLAY, PLAY, WATCH, PASS.",Official
Signal Rules,Same thresholds apply to O/U signals via ou_signal column.,Official
Risk Controls,review_flag = CHECK INPUTS when best_edge >= 15%.,Official
Risk Controls,"draw_play_filter = BLOCK DRAW when best_value = Draw, market_draw < 15%, and ABS(raw_score) > 1.5.",Official
Risk Controls,signal = REVIEW when review_flag = CHECK INPUTS or draw_play_filter = BLOCK DRAW.,Official
Risk Controls,"This prevents the model from automatically firing on extreme edges that may result from stale odds, bad inputs, or draw-probability artifacts.",Official
Risk Controls,"Large edges are not removed from the dashboard; they are preserved but marked for review to maintain transparency.",Official
Weak Schedule Flag,weak_schedule_flag (per team in team_stats) = 1 if team's xG source is from a materially weaker confederation pool (AFC qualifiers / CAF qualifiers / CONCACAF non-host qualifiers / OFC fallback); 0 otherwise.,Official
Weak Schedule Flag,"weak_schedule_match = FLAG when home_team.weak_schedule_flag != away_team.weak_schedule_flag (XOR logic). Fires only on cross-pool matchups, not same-pool.",Official
Weak Schedule Flag,The flag does not modify probabilities. It surfaces matches where the unadjusted xg_diff_diff may be distorted by pool baseline differences.,Official
Weak Schedule Flag,Moneyline-specific. The O/U model handles confederation comparability directly at the input level via conf_scalar. Moneyline does not apply conf_scalar to avoid double-counting with F1 Opta.,Official
Weak Schedule Flag,"Bucketing live results by weak_schedule_match indicates whether moneyline systematically over- or under-predicts on cross-pool matches, informing v1.1 calibration.",Follow-up
Confederation Scalars,"conf_scalar is a per-team multiplier in team_stats column L, derived from average Elo per confederation.",Official
Confederation Scalars,"Values: UEFA 1.00 (baseline), CAF 0.96, CONMEBOL 0.88, AFC 0.87, CONCACAF Gold Cup 0.87, OFC 0.80.",Official
Confederation Scalars,conf_scalar is ACTIVE in O/U production. Applied to xG inputs at the input level (before per-team scalars and match-level situational modifier).,Official
Confederation Scalars,Offensive xG adjustment is multiplicative discount: xg_for_adj = xg_for * conf_scalar.,Official
Confederation Scalars,"Defensive xG adjustment is elo-weighted blend: xg_against_adj = (xg_against/conf_scalar)*(elo/100) + xg_against*(1-elo/100).",Official
Confederation Scalars,Defensive xG is inflated (divided by scalar) rather than discounted because weak-pool defenses understate true leakiness against UEFA-level attack.,Official
Confederation Scalars,"Elo weighting in defensive xG acts as empirical-Bayes shrinkage: stronger teams get more confederation adjustment, weaker teams stay closer to raw.",Official
Confederation Scalars,"conf_scalar is NOT applied to moneyline. F1 Opta differential already encodes confederation strength, so multiplying xG by conf_scalar would double-count.",Official
Confederation Scalars,"The CONMEBOL value (0.88) is a known calibration concern. Brazil, Argentina, and Uruguay rate higher than 0.88 implies; the average may be skewed by weaker CONMEBOL nations.",Limitation
Confederation Scalars,"Coefficients are uncalibrated against forward-test data; values will be re-derived from observed CLV by confederation post-tournament.",Follow-up
v0.3 Moneyline Overlay,"v0.3 moneyline overlay adds climate, altitude, venue tier, host status, tactical primary style, and tactical secondary style as a research extension.",Experimental
v0.3 Moneyline Overlay,v0.3 moneyline overlay is tracked side-by-side with v0.2 frozen moneyline; NOT used for live signals.,Experimental
v0.3 Moneyline Overlay,v0.3 moneyline weights are uncalibrated and could produce aggressive edge signals if promoted prematurely.,Experimental
v0.3 Moneyline Overlay,"When v0.3 moneyline is promoted in v1.1+, situational_score will be capped: MAX(-0.75, MIN(0.75, situational_score)).",Follow-up
O/U Model,O/U production lives in ou_model tab (v0.3 architecture). v0.2 O/U archived in ou_model_vo2_FROZEN.,Official
O/U Model,"O/U inputs use asymmetric confederation adjustment: xg_for is discounted (multiply by conf_scalar), xg_against is elo-weighted blend of inflated and raw.",Official
O/U Model,Per-team expected goals use 60/40 weighting: home_exp_goals = (home_xg_for_adj * 0.6) + (away_xg_against_adj * 0.4).,Official
O/U Model,60/40 split reflects that attacking output is more stable across opponents than defensive output is across attackers.,Official
O/U Model,Per-team adj_xg applies multiplicative tactical and climate scalars: home_adj_xg = home_exp_goals * (1 + home_tactical_s) * (1 + home_climate_modifier).,Official
O/U Model,"Climate modifier per team is a piecewise function on origin temperature: <10C: -0.08, <=20C: 0, <=26C: 0.05, >26C: -0.10.",Official
O/U Model,"Match-level situational_modifier = match_tactical_r + venue_penalty, where match_tactical_r = AVG(home_tactical_s, away_tactical_s) and venue_penalty is from venue_tier.",Official
O/U Model,"Venue penalty: extreme: -0.20, high: -0.15, altitude: -0.15, moderate: -0.08, mild: 0.",Official
O/U Model,adjusted_total_exp_goals = (home_adj_xg + away_adj_xg) * (1 + situational_modifier).,Official
O/U Model,"Three-layer multiplicative structure (input adjustment, per-team scalars, match-level scalar) ensures environmental effects scale proportionally with projected goal volume.",Official
O/U Model,"O/U line varies by match (typically 2.5 but sometimes 1.5, 3.5, 4.5) based on the Kalshi contract offered for that match.",Official
O/U Model,P(under L) = sum of Poisson(k; adjusted_total) for k = 0 to floor(L). P(over L) = 1 - P(under L).,Official
O/U Model,O/U market probabilities are normalized separately from moneyline using over_raw and under_raw.,Official
O/U Model,O/U signal thresholds match moneyline thresholds.,Official
O/U Model,"Knockout-stage rows show #N/A in venue_tier and situational_modifier until the bracket resolves post-group-stage; this is expected, not a bug.",Official
Output Dashboard,model_output is the clean final dashboard for moneyline decision-making.,Official
Output Dashboard,model_output pulls from model_inputs_v02 for official moneyline signals.,Official
Output Dashboard,"model_output includes model probabilities, market probabilities, edges, best_value, best_edge, signal, review_flag, draw_play_filter, weak_schedule_match, and model_pick.",Official
Output Dashboard,"ou_model is the O/U output dashboard, separate from model_output.",Official
Output Dashboard,"ou_model includes adjusted_total_exp_goals, under_prob, over_prob, market_over, market_under, edges, ou_best_value, ou_best_edge, ou_signal, ou_review_flag.",Official
Output Dashboard,"Signal colors used for visual triage: STRONG PLAY, PLAY, WATCH, PASS, REVIEW.",Official
Freezing Process,"Before kickoff, official model tabs are duplicated and pasted as values only.",Official
Freezing Process,"Frozen tabs (dated): model_inputs_v02_FROZEN_<MMDD>, model_output_FROZEN_<MMDD>, daily_odds_FROZEN_<MMDD>, ou_model_FROZEN_<MMDD>.",Official
Freezing Process,Freezing preserves the exact pre-match model outputs and prevents accidental retroactive changes.,Official
Freezing Process,Frozen tabs should be created at T-1hr after final Kalshi prices are entered and before kickoff.,Official
Freezing Process,Frozen outputs protect against accidental retroactive formula changes or data updates contaminating the forward test.,Official
Results Tracker,live_results_tracker is the live performance ledger for the project.,Official
Results Tracker,"live_results_tracker records: match_id, date, home_team, away_team, city, stage, model probs (frozen), market probs (frozen), model_pick, best_value, best_edge, signal, weak_schedule_match, stake, side_bet, entry_price, actual_outcome, model_pick_hit (auto), best_value_hit (auto), pnl, clv.",Official
Results Tracker,Moneyline performance tracks model_pick_hit and best_value_hit separately.,Official
Results Tracker,O/U performance tracks whether ou_best_value hit based on the relevant O/U line.,Official
Forward Testing,Primary validation method is live forward testing during the 2026 World Cup.,Official
Forward Testing,"Before each match, final Kalshi prices entered, model_outputs checked, frozen outputs preserved before kickoff.",Official
Forward Testing,"After each match, actual_outcome and ou_result recorded in live_results_tracker.",Official
Forward Testing,Forward testing avoids look-ahead bias and preserves real pre-match decision conditions.,Official
Evaluation Metrics,"Initial evaluation: model_pick accuracy, best_value hit rate, signal-tier performance, draw performance, weak-schedule bucket performance, O/U hit rate.",Follow-up
Evaluation Metrics,"Calibration evaluated after meaningful sample by grouping predictions into probability buckets: 40-50%, 50-60%, 60-70%, 70-80%, 80%+.",Follow-up
Evaluation Metrics,Draw recommendations evaluated separately because draw probability is the most fragile part of the model.,Follow-up
Evaluation Metrics,REVIEW rows analyzed separately from official PLAY and STRONG PLAY rows.,Follow-up
Evaluation Metrics,CLV (closing line value) tracked for all bets placed; positive CLV indicates beating closing market price (pro-bettor metric).,Follow-up
Evaluation Metrics,v0.3 O/U evaluated side-by-side with archived v0.2 O/U for relative performance comparison.,Follow-up
Backtesting Plan,"Backtesting is a credibility supplement; official evaluation prioritizes live forward testing.",Backtest
Backtesting Plan,"Initial backtest is a 2022 World Cup sanity check, not a fully optimized ML backtest.",Backtest
Backtesting Plan,First backtest tests whether higher model probabilities generally aligned with actual outcomes in 2022 WC.,Backtest
Backtesting Plan,Backtesting evaluates model_pick accuracy separately from best_value edge performance.,Backtest
Backtesting Plan,"Historical market-edge backtesting requires reliable historical Kalshi-equivalent prices; without those, only prediction quality (not market mispricing) can be backtested.",Limitation
Limitations,"v0.2 moneyline is a hand-weighted scorecard model, not a machine-learning model. Weights are educated initial values, not optimized.",Limitation
Limitations,"v0.3 O/U situational factor weights (tactical, climate, venue) are also hand-set and uncalibrated; v0.2 O/U archived for side-by-side comparison.",Limitation
Limitations,Weights should not be aggressively re-tuned on individual match results.,Limitation
Limitations,Reliable calibration conclusions require 20+ matches.,Limitation
Limitations,xG availability varies by confederation; regional sample sizes and competition strength are partially normalized in O/U (via conf_scalar) but not in moneyline.,Limitation
Limitations,Goal differential is not fully opponent-adjusted; teams with weak qualifying schedules may look artificially strong.,Limitation
Limitations,Draw probabilities are heuristic; replacement with Poisson scoreline grid or calibrated draw classifier is a v1.1 candidate.,Limitation
Limitations,"conf_scalar values, especially CONMEBOL at 0.88, are uncalibrated and should be revisited with forward-test data.",Limitation
Limitations,Kalshi prices move before kickoff; final signals must use the latest prices.,Limitation
Limitations,REVIEW rows are not final trading recommendations.,Limitation
Limitations,Knockout-stage venue and situational data populate only after group stage ends; pre-group-stage knockout O/U projections are not produced.,Limitation
Roadmap,Logistic regression weight optimization on accumulated forward-test sample.,Follow-up
Roadmap,Draw probability replacement via Poisson scoreline grid or calibrated draw classifier.,Follow-up
Roadmap,v0.3 moneyline overlay promotion to production after situational factor calibration (with capped situational score).,Follow-up
Roadmap,conf_scalar values recalibrated using observed CLV by confederation after group stage.,Follow-up
Roadmap,Opponent-adjusted goal differential to address Norway-type schedule strength bias.,Follow-up
Roadmap,KO-stage O/U model recalibration added post-group-stage once bracket is known.,Follow-up
Roadmap,Public results dashboard with running calibration plots and weak-schedule-bucketed performance.,Follow-up
GitHub / Portfolio,"Public GitHub repository documents model structure, methodology, sample outputs, screenshots, and backtesting work.",Portfolio
GitHub / Portfolio,Repository name: worldcup-2026-pricing-engine.,Portfolio
GitHub / Portfolio,"The repository frames the project as a market-pricing model, not just a soccer prediction model.",Portfolio
GitHub / Portfolio,"Core repository files: README.md, methodology.md, /data/ CSVs, /notebooks/ scripts.",Portfolio
GitHub / Portfolio,"README emphasizes fair probability estimation, devigging, edge calculation, risk controls, and live forward-test performance tracking.",Portfolio
Recruiting Framing,Project described as a quantitative market-pricing model for event contracts.,Portfolio
Recruiting Framing,"Resume framing: Built a probability-based World Cup pricing model comparing internally estimated fair odds against Kalshi event-contract prices to identify potential mispricings.",Portfolio
Recruiting Framing,"Strongest finance angle: comparison between fair value probability and market-implied probability (mirrors fixed-income spread analysis and mark-to-market validation).",Portfolio
Recruiting Framing,"Project demonstrates probability modeling, data cleaning, market microstructure (devigging), risk controls (multiple layers), performance tracking with CLV, and investment-style decision rules.",Portfolio
